Date,Shadow Value,day,month,year,month_year
2023-12-05,118,5,12,2023,Dec-2023
2023-12-06,117,6,12,2023,Dec-2023
2023-12-07,116,7,12,2023,Dec-2023
2023-12-08,115,8,12,2023,Dec-2023
2023-12-09,114,9,12,2023,Dec-2023
2023-12-10,113,10,12,2023,Dec-2023
2023-12-11,112,11,12,2023,Dec-2023
2023-12-12,111,12,12,2023,Dec-2023
2023-12-13,110,13,12,2023,Dec-2023
2023-12-14,109,14,12,2023,Dec-2023
2023-12-15,108,15,12,2023,Dec-2023
2023-12-16,107,16,12,2023,Dec-2023
2023-12-17,106,17,12,2023,Dec-2023
2023-12-18,105,18,12,2023,Dec-2023
2023-12-19,104,19,12,2023,Dec-2023
2023-12-20,103,20,12,2023,Dec-2023
2023-12-21,102,21,12,2023,Dec-2023
2023-12-22,101,22,12,2023,Dec-2023
2023-12-23,100,23,12,2023,Dec-2023
2023-12-24,99,24,12,2023,Dec-2023
2023-12-25,98,25,12,2023,Dec-2023
2023-12-26,97,26,12,2023,Dec-2023
2023-12-27,96,27,12,2023,Dec-2023
2023-12-28,95,28,12,2023,Dec-2023
2023-12-29,94,29,12,2023,Dec-2023
2023-12-30,93,30,12,2023,Dec-2023
2023-12-31,92,31,12,2023,Dec-2023
2024-01-01,91,1,1,2024,Jan-2024
2024-01-02,90,2,1,2024,Jan-2024
2024-01-03,89,3,1,2024,Jan-2024
2024-01-04,88,4,1,2024,Jan-2024
2024-01-05,87,5,1,2024,Jan-2024
2024-01-06,86,6,1,2024,Jan-2024
2024-01-07,85,7,1,2024,Jan-2024
2024-01-08,84,8,1,2024,Jan-2024
2024-01-09,83,9,1,2024,Jan-2024
2024-01-10,82,10,1,2024,Jan-2024
2024-01-11,81,11,1,2024,Jan-2024
2024-01-12,80,12,1,2024,Jan-2024
2024-01-13,79,13,1,2024,Jan-2024
2024-01-14,78,14,1,2024,Jan-2024
2024-01-15,77,15,1,2024,Jan-2024
2024-01-16,76,16,1,2024,Jan-2024
2024-01-17,75,17,1,2024,Jan-2024
2024-01-18,74,18,1,2024,Jan-2024
2024-01-19,73,19,1,2024,Jan-2024
2024-01-20,72,20,1,2024,Jan-2024
2024-01-21,71,21,1,2024,Jan-2024
2024-01-22,70,22,1,2024,Jan-2024
2024-01-23,69,23,1,2024,Jan-2024
2024-01-24,68,24,1,2024,Jan-2024
2024-01-25,67,25,1,2024,Jan-2024
2024-01-26,66,26,1,2024,Jan-2024
2024-01-27,65,27,1,2024,Jan-2024
2024-01-28,64,28,1,2024,Jan-2024
2024-01-29,63,29,1,2024,Jan-2024
2024-01-30,62,30,1,2024,Jan-2024
2024-01-31,61,31,1,2024,Jan-2024
2024-02-01,60,1,2,2024,Feb-2024
2024-02-02,59,2,2,2024,Feb-2024
2024-02-03,58,3,2,2024,Feb-2024
2024-02-04,57,4,2,2024,Feb-2024
2024-02-05,56,5,2,2024,Feb-2024
2024-02-06,55,6,2,2024,Feb-2024
2024-02-07,54,7,2,2024,Feb-2024
2024-02-08,53,8,2,2024,Feb-2024
2024-02-09,52,9,2,2024,Feb-2024
2024-02-10,51,10,2,2024,Feb-2024
2024-02-11,50,11,2,2024,Feb-2024
2024-02-12,49,12,2,2024,Feb-2024
2024-02-13,48,13,2,2024,Feb-2024
2024-02-14,47,14,2,2024,Feb-2024
2024-02-15,46,15,2,2024,Feb-2024
2024-02-16,45,16,2,2024,Feb-2024
2024-02-17,44,17,2,2024,Feb-2024
2024-02-18,43,18,2,2024,Feb-2024
2024-02-19,42,19,2,2024,Feb-2024
2024-02-20,41,20,2,2024,Feb-2024
2024-02-21,40,21,2,2024,Feb-2024
2024-02-22,39,22,2,2024,Feb-2024
2024-02-23,38,23,2,2024,Feb-2024
2024-02-24,37,24,2,2024,Feb-2024
2024-02-25,36,25,2,2024,Feb-2024
2024-02-26,35,26,2,2024,Feb-2024
2024-02-27,34,27,2,2024,Feb-2024
2024-02-28,33,28,2,2024,Feb-2024
2024-02-29,32,29,2,2024,Feb-2024
2024-03-01,31,1,3,2024,Mar-2024
2024-03-02,30,2,3,2024,Mar-2024
2024-03-03,29,3,3,2024,Mar-2024
2024-03-04,28,4,3,2024,Mar-2024
2024-03-05,27,5,3,2024,Mar-2024
2024-03-06,26,6,3,2024,Mar-2024
2024-03-07,25,7,3,2024,Mar-2024
2024-03-08,24,8,3,2024,Mar-2024
2024-03-09,23,9,3,2024,Mar-2024
2024-03-10,22,10,3,2024,Mar-2024
2024-03-11,21,11,3,2024,Mar-2024
2024-03-12,20,12,3,2024,Mar-2024
2024-03-13,19,13,3,2024,Mar-2024
2024-03-14,18,14,3,2024,Mar-2024
2024-03-15,17,15,3,2024,Mar-2024
2024-03-16,16,16,3,2024,Mar-2024
2024-03-17,15,17,3,2024,Mar-2024
2024-03-18,14,18,3,2024,Mar-2024
2024-03-19,13,19,3,2024,Mar-2024
2024-03-20,12,20,3,2024,Mar-2024
2024-03-21,11,21,3,2024,Mar-2024
2024-03-22,10,22,3,2024,Mar-2024
2024-03-23,9,23,3,2024,Mar-2024
2024-03-24,8,24,3,2024,Mar-2024
2024-03-25,7,25,3,2024,Mar-2024
2024-03-26,6,26,3,2024,Mar-2024
2024-03-27,5,27,3,2024,Mar-2024
2024-03-28,4,28,3,2024,Mar-2024
2024-03-29,3,29,3,2024,Mar-2024
2024-03-30,2,30,3,2024,Mar-2024
2024-03-31,1,31,3,2024,Mar-2024
